1,3186,4,978300019
1,1270,5,978300055
1,1721,4,978300055
1,1022,5,978300055
1,2340,3,978300103
1,1836,5,978300172
1,3408,4,978300275
1,2804,5,978300719
1,1207,4,978300719
1,1193,5,978300760
1,720,3,978300760
1,260,4,978300760
1,919,4,978301368
1,608,4,978301398
1,2692,4,978301570
1,1961,5,978301590
1,2028,5,978301619
1,3105,5,978301713
1,938,4,978301752
1,1035,5,978301753
1,1962,4,978301753
1,2018,4,978301777
1,150,5,978301777
1,1028,5,978301777
1,1097,4,978301953
1,914,3,978301968
1,1287,5,978302039
1,2797,4,978302039
1,2762,4,978302091
1,1246,4,978302091
1,661,3,978302109
1,2918,4,978302124
1,531,4,978302149
1,3114,4,978302174
1,2791,4,978302188
1,2321,3,978302205
1,1029,5,978302205
1,1197,3,978302268
1,594,4,978302268
2,1198,4,978298124
2,1210,4,978298151
2,1217,3,978298151
2,2717,3,978298196
2,1293,5,978298261
2,2943,4,978298372
2,1225,5,978298391
2,1193,5,978298413
2,318,5,978298413
2,3030,4,978298434
2,2858,4,978298434
2,1213,2,978298458
2,1945,5,978298458
2,1207,4,978298478
2,593,5,978298517
2,3095,4,978298517
2,3468,5,978298542
2,1873,4,978298542
2,515,5,978298542
2,1090,2,978298580
2,2501,5,978298600
2,3035,4,978298625
2,110,5,978298625
2,2067,5,978298625
2,3147,5,978298652
2,1247,5,978298652
2,3105,4,978298673
2,1357,5,978298709
2,1196,5,978298730
2,1957,5,978298750
2,1953,4,978298775
2,920,5,978298775
2,1834,4,978298813
2,1084,3,978298813
2,1962,5,978298813
2,3471,5,978298814
2,3654,3,978298814
2,3735,3,978298814
2,1259,5,978298841
2,1954,5,978298841
2,1784,5,978298841
2,2728,3,978298881
2,1968,2,978298881
2,1103,3,978298905
2,902,2,978298905
2,3451,4,978298924
2,3578,5,978298958
2,2852,3,978298958
2,3334,4,978298958
2,3068,4,978299000
2,265,4,978299026
2,2312,3,978299046
2,590,5,978299083
2,1253,3,978299120
2,3071,4,978299120
2,1244,3,978299143
2,3699,2,978299173
2,1955,4,978299200
2,1245,2,978299200
2,2236,5,978299220
2,3678,3,978299250
2,982,4,978299269
2,2194,4,978299297
2,2268,5,978299297
2,1442,4,978299297
2,3255,4,978299321
2,647,3,978299351
2,235,3,978299351
2,1096,4,978299386
2,1124,5,978299418
2,498,3,978299418
2,1246,5,978299418
2,3893,1,978299535
2,1537,4,978299620
2,1188,4,978299620
2,2396,4,978299641
2,2359,3,978299666
2,2321,3,978299666
2,356,5,978299686
2,3108,3,978299712
2,1265,3,978299712
2,3809,3,978299712
2,589,4,978299773
